EnhetNivaa;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Nasjonalt;Fylke;EnhetNavn;Utdanningsprogram;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
1;I;00;I;Hele landet;Alle fylker;Alle skoler;Alle utdanningsprogram;Vg2;2024;88,5;50,8;11,7;22,1;0,3;3,5
2;I;39;39;Hele landet;Vestfold;Alle skoler;Alle utdanningsprogram;Vg2;2024;86,2;51,9;10,5;20,7;0,3;2,7
3;I;39;974575086;Hele landet;Vestfold;Færder videregående skole;Alle utdanningsprogram;Vg2;2024;81,1;18,1;7;52,7;0,4;2,9
3;I;39;990745277;Hele landet;Vestfold;Gjennestad videregående skole;Alle utdanningsprogram;Vg2;2024;69,4;0;22,2;45,8;1,4;0
3;I;39;974574993;Hele landet;Vestfold;Greveskogen videregående skole;Alle utdanningsprogram;Vg2;2024;85,8;66,6;5,1;13,2;1;0
3;I;39;874575062;Hele landet;Vestfold;Holmestrand videregående skole;Alle utdanningsprogram;Vg2;2024;91,1;62,2;15,6;13,3;0;0
3;I;39;923261354;Hele landet;Vestfold;Horten videregående skole;Alle utdanningsprogram;Vg2;2024;86,5;53,2;14,9;14,6;0,3;3,4
3;I;39;974575051;Hele landet;Vestfold;Melsom videregående skole;Alle utdanningsprogram;Vg2;2024;75;28,8;17,3;15,4;0;13,5
3;I;39;974575000;Hele landet;Vestfold;Nøtterøy videregående skole;Alle utdanningsprogram;Vg2;2024;93,5;75,2;11,2;4,2;0;2,8
3;I;39;874575232;Hele landet;Vestfold;Re videregående skole;Alle utdanningsprogram;Vg2;2024;91,6;47,6;17,1;26,9;0;0
3;I;39;974575116;Hele landet;Vestfold;Sande videregående skole;Alle utdanningsprogram;Vg2;2024;87,8;49,6;14,8;23,5;0;0
3;I;39;974575019;Hele landet;Vestfold;Sandefjord videregående skole;Alle utdanningsprogram;Vg2;2024;84,4;52,9;7,7;16,6;0,1;6,9
3;I;39;973488783;Hele landet;Vestfold;Skagerak International School;Alle utdanningsprogram;Vg2;2024;89,7;89,7;0;0;0;0
3;I;39;973141805;Hele landet;Vestfold;Slottsfjellet videregående;Alle utdanningsprogram;Vg2;2024;92,9;92,9;0;0;0;0
3;I;39;974575027;Hele landet;Vestfold;Thor Heyerdahl videregående skole;Alle utdanningsprogram;Vg2;2024;85,7;47,5;11,4;25,7;0,6;0,6
3;I;39;995354071;Hele landet;Vestfold;Wang Tønsberg AS;Alle utdanningsprogram;Vg2;2024;98,5;98,5;0;0;0;0
1;I;00;I;Hele landet;Alle fylker;Alle skoler;Studieforberedende;Vg2;2024;96,2;96,1;0,1;0;0;0
2;I;39;39;Hele landet;Vestfold;Alle skoler;Studieforberedende;Vg2;2024;94,5;94,5;0,1;0;0;0
3;I;39;974575086;Hele landet;Vestfold;Færder videregående skole;Studieforberedende;Vg2;2024;95,7;95,7;0;0;0;0
3;I;39;974574993;Hele landet;Vestfold;Greveskogen videregående skole;Studieforberedende;Vg2;2024;94,7;94,7;0;0;0;0
3;I;39;874575062;Hele landet;Vestfold;Holmestrand videregående skole;Studieforberedende;Vg2;2024;93,3;93,3;0;0;0;0
3;I;39;923261354;Hele landet;Vestfold;Horten videregående skole;Studieforberedende;Vg2;2024;93,6;93,6;0;0;0;0
3;I;39;974575051;Hele landet;Vestfold;Melsom videregående skole;Studieforberedende;Vg2;2024;88,2;88,2;0;0;0;0
3;I;39;974575000;Hele landet;Vestfold;Nøtterøy videregående skole;Studieforberedende;Vg2;2024;96,4;96,4;0;0;0;0
3;I;39;874575232;Hele landet;Vestfold;Re videregående skole;Studieforberedende;Vg2;2024;95,6;95,6;0;0;0;0
3;I;39;974575116;Hele landet;Vestfold;Sande videregående skole;Studieforberedende;Vg2;2024;95;95;0;0;0;0
3;I;39;974575019;Hele landet;Vestfold;Sandefjord videregående skole;Studieforberedende;Vg2;2024;93,4;93,4;0;0;0;0
3;I;39;973488783;Hele landet;Vestfold;Skagerak International School;Studieforberedende;Vg2;2024;89,7;89,7;0;0;0;0
3;I;39;973141805;Hele landet;Vestfold;Slottsfjellet videregående;Studieforberedende;Vg2;2024;92,9;92,9;0;0;0;0
3;I;39;974575027;Hele landet;Vestfold;Thor Heyerdahl videregående skole;Studieforberedende;Vg2;2024;95,4;95,1;0,4;0;0;0
3;I;39;995354071;Hele landet;Vestfold;Wang Tønsberg AS;Studieforberedende;Vg2;2024;98,5;98,5;0;0;0;0
1;I;00;I;Hele landet;Alle fylker;Alle skoler;Yrkesfag;Vg2;2024;79,8;0;24,7;46,9;0,7;7,5
2;I;39;39;Hele landet;Vestfold;Alle skoler;Yrkesfag;Vg2;2024;76;0;23,3;45,9;0,7;6,1
3;I;39;974575086;Hele landet;Vestfold;Færder videregående skole;Yrkesfag;Vg2;2024;77,7;0;8,6;65;0,5;3,6
3;I;39;990745277;Hele landet;Vestfold;Gjennestad videregående skole;Yrkesfag;Vg2;2024;69,4;0;22,2;45,8;1,4;0
3;I;39;974574993;Hele landet;Vestfold;Greveskogen videregående skole;Yrkesfag;Vg2;2024;64,8;0;17;44,3;3,4;0
3;I;39;874575062;Hele landet;Vestfold;Holmestrand videregående skole;Yrkesfag;Vg2;2024;86,7;0;46,7;40;0;0
3;I;39;923261354;Hele landet;Vestfold;Horten videregående skole;Yrkesfag;Vg2;2024;77,1;0;34,6;34;0,7;7,8
3;I;39;974575051;Hele landet;Vestfold;Melsom videregående skole;Yrkesfag;Vg2;2024;68,6;0;25,7;22,9;0;20
3;I;39;974575000;Hele landet;Vestfold;Nøtterøy videregående skole;Yrkesfag;Vg2;2024;83;0;51,1;19,1;0;12,8
3;I;39;874575232;Hele landet;Vestfold;Re videregående skole;Yrkesfag;Vg2;2024;87,7;0;34,1;53,6;0;0
3;I;39;974575116;Hele landet;Vestfold;Sande videregående skole;Yrkesfag;Vg2;2024;80;0;30,9;49,1;0;0
3;I;39;974575019;Hele landet;Vestfold;Sandefjord videregående skole;Yrkesfag;Vg2;2024;72,5;0;17,9;38,4;0,3;15,9
3;I;39;974575027;Hele landet;Vestfold;Thor Heyerdahl videregående skole;Yrkesfag;Vg2;2024;76;0;22,4;51,3;1,1;1,1
