Stop;Stopname;Kommune;Lon;Lat;PublicLineNo;Antall;År;Måned
0;0;Drammen;0;0;9999;10 107;2022;1
0;0;Færder;0;0;9999;75 101;2022;1
0;0;Holmestrand;0;0;9999;55 247;2022;1
0;0;Horten;0;0;9999;68 225;2022;1
0;0;Larvik;0;0;9999;100 740;2022;1
0;0;Sandefjord;0;0;9999;127 891;2022;1
0;0;Tønsberg;0;0;9999;264 158;2022;1
0;0;Drammen;0;0;9999;10 619;2022;2
0;0;Færder;0;0;9999;68 061;2022;2
0;0;Holmestrand;0;0;9999;47 287;2022;2
0;0;Horten;0;0;9999;65 262;2022;2
0;0;Larvik;0;0;9999;83 309;2022;2
0;0;Sandefjord;0;0;9999;112 716;2022;2
0;0;Tønsberg;0;0;9999;242 417;2022;2
0;0;Drammen;0;0;9999;12 103;2022;3
0;0;Færder;0;0;9999;93 538;2022;3
0;0;Holmestrand;0;0;9999;71 588;2022;3
0;0;Horten;0;0;9999;89 648;2022;3
0;0;Larvik;0;0;9999;117 631;2022;3
0;0;Sandefjord;0;0;9999;153 436;2022;3
0;0;Tønsberg;0;0;9999;330 545;2022;3
0;0;Drammen;0;0;9999;9 528;2022;4
0;0;Færder;0;0;9999;68 734;2022;4
0;0;Holmestrand;0;0;9999;45 782;2022;4
0;0;Horten;0;0;9999;62 936;2022;4
0;0;Larvik;0;0;9999;82 837;2022;4
0;0;Sandefjord;0;0;9999;102 873;2022;4
0;0;Tønsberg;0;0;9999;234 764;2022;4
0;0;Drammen;0;0;9999;9 560;2022;5
0;0;Færder;0;0;9999;76 938;2022;5
0;0;Holmestrand;0;0;9999;50 757;2022;5
0;0;Horten;0;0;9999;68 884;2022;5
0;0;Larvik;0;0;9999;93 525;2022;5
0;0;Sandefjord;0;0;9999;113 351;2022;5
0;0;Tønsberg;0;0;9999;269 739;2022;5
0;0;Drammen;0;0;9999;9 895;2022;6
0;0;Færder;0;0;9999;79 896;2022;6
0;0;Holmestrand;0;0;9999;41 248;2022;6
0;0;Horten;0;0;9999;67 751;2022;6
0;0;Larvik;0;0;9999;88 643;2022;6
0;0;Sandefjord;0;0;9999;99 629;2022;6
0;0;Tønsberg;0;0;9999;268 440;2022;6
0;0;Drammen;0;0;9999;6 693;2022;7
0;0;Færder;0;0;9999;56 559;2022;7
0;0;Holmestrand;0;0;9999;15 664;2022;7
0;0;Horten;0;0;9999;43 871;2022;7
0;0;Larvik;0;0;9999;64 065;2022;7
0;0;Sandefjord;0;0;9999;60 875;2022;7
0;0;Tønsberg;0;0;9999;171 478;2022;7
0;0;Drammen;0;0;9999;10 171;2022;8
0;0;Færder;0;0;9999;75 320;2022;8
0;0;Holmestrand;0;0;9999;43 117;2022;8
0;0;Horten;0;0;9999;72 905;2022;8
0;0;Larvik;0;0;9999;84 737;2022;8
0;0;Sandefjord;0;0;9999;100 651;2022;8
0;0;Tønsberg;0;0;9999;257 799;2022;8
0;0;Drammen;0;0;9999;12 020;2022;9
0;0;Færder;0;0;9999;91 967;2022;9
0;0;Holmestrand;0;0;9999;67 830;2022;9
0;0;Horten;0;0;9999;88 503;2022;9
0;0;Larvik;0;0;9999;114 018;2022;9
0;0;Sandefjord;0;0;9999;137 003;2022;9
0;0;Tønsberg;0;0;9999;325 821;2022;9
0;0;Drammen;0;0;9999;11 986;2022;10
0;0;Færder;0;0;9999;90 775;2022;10
0;0;Holmestrand;0;0;9999;62 442;2022;10
0;0;Horten;0;0;9999;90 509;2022;10
0;0;Larvik;0;0;9999;110 398;2022;10
0;0;Sandefjord;0;0;9999;139 431;2022;10
0;0;Tønsberg;0;0;9999;328 694;2022;10
0;0;Drammen;0;0;9999;11 291;2022;11
0;0;Færder;0;0;9999;101 192;2022;11
0;0;Holmestrand;0;0;9999;73 440;2022;11
0;0;Horten;0;0;9999;95 919;2022;11
0;0;Larvik;0;0;9999;127 572;2022;11
0;0;Sandefjord;0;0;9999;167 124;2022;11
0;0;Tønsberg;0;0;9999;366 868;2022;11
0;0;Drammen;0;0;9999;8 253;2022;12
0;0;Færder;0;0;9999;75 019;2022;12
0;0;Holmestrand;0;0;9999;50 394;2022;12
0;0;Horten;0;0;9999;69 853;2022;12
0;0;Larvik;0;0;9999;93 940;2022;12
0;0;Sandefjord;0;0;9999;122 970;2022;12
0;0;Tønsberg;0;0;9999;281 924;2022;12
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
